
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
Bile duct stone,1/277 %0.36,1/276 %0.36
Cholangitis,5/277 %1.81,1/276 %0.36
Cholangitis acute,1/277 %0.36,1/276 %0.36
Hepatic cirrhosis,1/277 %0.36,1/276 %0.36
Hepatic failure,6/277 %2.17,5/276 %1.81
Hepatic function abnormal,0/277 %0.0,1/276 %0.36
Hepatorenal syndrome,4/277 %1.44,1/276 %0.36
Hyperbilirubinaemia,1/277 %0.36,3/276 %1.09
Hypertransaminasaemia,1/277 %0.36,0/276 %0.0
Jaundice,1/277 %0.36,1/276 %0.36
Jaundice cholestatic,0/277 %0.0,2/276 %0.72
Liver disorder,1/277 %0.36,0/276 %0.0
Portal vein thrombosis,1/277 %0.36,1/276 %0.36
Anaphylactic reaction,2/277 %0.72,0/276 %0.0
Anal abscess,2/277 %0.72,0/276 %0.0
Bacteraemia,1/277 %0.36,0/276 %0.0
Campylobacter infection,1/277 %0.36,0/276 %0.0
Candida sepsis,1/277 %0.36,0/276 %0.0
Device related infection,1/277 %0.36,0/276 %0.0
Device related sepsis,1/277 %0.36,0/276 %0.0
Infection,1/277 %0.36,0/276 %0.0
Influenza,0/277 %0.0,1/276 %0.36
Liver abscess,1/277 %0.36,0/276 %0.0
Lobar pneumonia,1/277 %0.36,0/276 %0.0
Lung infection,2/277 %0.72,0/276 %0.0
Peritonitis,1/277 %0.36,1/276 %0.36
Peritonitis bacterial,1/277 %0.36,0/276 %0.0
Pneumonia,3/277 %1.08,3/276 %1.09
Pneumonia bacterial,1/277 %0.36,0/276 %0.0
Pneumonia klebsiella,0/277 %0.0,1/276 %0.36
Pulmonary sepsis,1/277 %0.36,0/276 %0.0
Sepsis,3/277 %1.08,2/276 %0.72
Septic shock,0/277 %0.0,1/276 %0.36
Upper respiratory tract infection,1/277 %0.36,1/276 %0.36
Urinary tract infection,3/277 %1.08,0/276 %0.0
Fall,0/277 %0.0,1/276 %0.36
Femur fracture,0/277 %0.0,1/276 %0.36
Infusion related reaction,1/277 %0.36,0/276 %0.0
Aspartate aminotransferase increased,0/277 %0.0,1/276 %0.36
Blood bilirubin increased,2/277 %0.72,0/276 %0.0
Blood creatinine increased,1/277 %0.36,0/276 %0.0
General physical condition abnormal,1/277 %0.36,0/276 %0.0
Liver function test abnormal,1/277 %0.36,0/276 %0.0
Cachexia,1/277 %0.36,1/276 %0.36
Decreased appetite,3/277 %1.08,0/276 %0.0
Dehydration,2/277 %0.72,1/276 %0.36
Diabetes mellitus,1/277 %0.36,0/276 %0.0
Hypercalcaemia,1/277 %0.36,1/276 %0.36
Hyperglycaemia,0/277 %0.0,2/276 %0.72
Hyperkalaemia,1/277 %0.36,0/276 %0.0
Hypertriglyceridaemia,1/277 %0.36,0/276 %0.0
Hypocalcaemia,1/277 %0.36,0/276 %0.0
Hypoglycaemia,0/277 %0.0,1/276 %0.36
Hyponatraemia,1/277 %0.36,1/276 %0.36
Arthritis,1/277 %0.36,0/276 %0.0
Back pain,0/277 %0.0,4/276 %1.45
Flank pain,0/277 %0.0,1/276 %0.36
Musculoskeletal chest pain,0/277 %0.0,1/276 %0.36
Neck pain,1/277 %0.36,0/276 %0.0
Pathological fracture,1/277 %0.36,0/276 %0.0
Spinal pain,0/277 %0.0,1/276 %0.36
Liver carcinoma ruptured,2/277 %0.72,2/276 %0.72
Malignant neoplasm progression,23/277 %8.3,16/276 %5.8
Metastases to bone,1/277 %0.36,1/276 %0.36
Metastases to central nervous system,1/277 %0.36,0/276 %0.0
Metastases to lung,1/277 %0.36,0/276 %0.0
Small intestine adenocarcinoma,0/277 %0.0,1/276 %0.36
Tumour associated fever,1/277 %0.36,0/276 %0.0
Tumour pain,0/277 %0.0,4/276 %1.45
Central nervous system lesion,1/277 %0.36,0/276 %0.0
Cerebral infarction,0/277 %0.0,1/276 %0.36
Coma hepatic,1/277 %0.36,0/276 %0.0
Convulsion,2/277 %0.72,0/276 %0.0
Diplegia,1/277 %0.36,0/276 %0.0
Dizziness,1/277 %0.36,1/276 %0.36
Encephalopathy,1/277 %0.36,0/276 %0.0
Hepatic encephalopathy,12/277 %4.33,1/276 %0.36
Mental impairment,1/277 %0.36,0/276 %0.0
Peripheral motor neuropathy,0/277 %0.0,1/276 %0.36
Somnolence,1/277 %0.36,0/276 %0.0
Spinal cord compression,1/277 %0.36,0/276 %0.0
Subarachnoid haemorrhage,0/277 %0.0,1/276 %0.36
Tongue biting,0/277 %0.0,1/276 %0.36
Mental status changes,0/277 %0.0,1/276 %0.36
Renal failure,2/277 %0.72,0/276 %0.0
Renal failure acute,3/277 %1.08,1/276 %0.36
Renal impairment,1/277 %0.36,0/276 %0.0
Acute respiratory distress syndrome,0/277 %0.0,1/276 %0.36
Dyspnoea,1/277 %0.36,2/276 %0.72
Haemoptysis,2/277 %0.72,1/276 %0.36
Hypoxia,1/277 %0.36,0/276 %0.0
Pleural effusion,2/277 %0.72,3/276 %1.09
Pneumonitis,0/277 %0.0,1/276 %0.36
Pulmonary embolism,1/277 %0.36,2/276 %0.72
Pulmonary haemorrhage,0/277 %0.0,1/276 %0.36
Dermatitis allergic,1/277 %0.36,0/276 %0.0
Skin lesion,1/277 %0.36,0/276 %0.0
Skin ulcer,1/277 %0.36,0/276 %0.0
Deep vein thrombosis,2/277 %0.72,0/276 %0.0
Haemorrhage,0/277 %0.0,1/276 %0.36
Hypertension,1/277 %0.36,0/276 %0.0
Shock haemorrhagic,1/277 %0.36,0/276 %0.0

Sorafenib Dose Ramp-Up in Hepatocellular Carcinoma (HCC)(https://clinicaltrials.gov/show/NCT01203787)
 ,Sorafenib Standard Dosing Regimen,Sorafenib Ramp-Up Regimen
 ,Sorafenib 400 mg (2 tablets of 200 mg) twice daily until end of treatment or week 24,200 mg daily from Day 0-Day 13 200 mg twice daily from Day 14-Day 20 600 mg daily from Day 21-Day 27 400 mg twice daily beginning Day 28 until end of treatment or Week 24
Total serious adverse events,16/63 %25.4,13/57 %22.81
Anemia,2/63 %3.17,0/57 %0.0
Thrombocytopenia,1/63 %1.59,0/57 %0.0
Acute congestive heart failure,1/63 %1.59,0/57 %0.0
Chest pain,1/63 %1.59,0/57 %0.0
Cardiac arrest,1/63 %1.59,0/57 %0.0
Hypertension,0/63 %0.0,1/57 %1.75
Hypotension,3/63 %4.76,0/57 %0.0
Blurred vision,0/63 %0.0,1/57 %1.75
Abdominal pain,1/63 %1.59,0/57 %0.0
Nausea,1/63 %1.59,0/57 %0.0
Upper gastrointestinal bleed,1/63 %1.59,2/57 %3.51
Vomiting,1/63 %1.59,0/57 %0.0
Deterioration of condition,0/63 %0.0,1/57 %1.75
Hypothermia,1/63 %1.59,0/57 %0.0
Syncopal episode,1/63 %1.59,0/57 %0.0
Ascites,1/63 %1.59,1/57 %1.75
Biliary obstruction,1/63 %1.59,0/57 %0.0
Decompensated liver failure,1/63 %1.59,0/57 %0.0
Encephalopathy,6/63 %9.52,1/57 %1.75
Liver failure,0/63 %0.0,4/57 %7.02
Cellulitis,1/63 %1.59,0/57 %0.0
Influenza,1/63 %1.59,0/57 %0.0
Meningitis,1/63 %1.59,0/57 %0.0
Pneumonia,1/63 %1.59,1/57 %1.75
Sepsis,2/63 %3.17,1/57 %1.75
Spontaneous bacterial perotinitis,1/63 %1.59,0/57 %0.0
Urinary tract infection,0/63 %0.0,1/57 %1.75
Drug toxicity,1/63 %1.59,0/57 %0.0
Post-embolization syndrome,3/63 %4.76,0/57 %0.0
Dehydration,2/63 %3.17,1/57 %1.75
Failure to thrive,1/63 %1.59,0/57 %0.0
Rib fracture,1/63 %1.59,0/57 %0.0
Dizziness,1/63 %1.59,0/57 %0.0
Vertigo,0/63 %0.0,1/57 %1.75
Unsteady gait,0/63 %0.0,1/57 %1.75
Acute renal failure,3/63 %4.76,0/57 %0.0
Pleural effusion,1/63 %1.59,1/57 %1.75
Pulmonary embolism,1/63 %1.59,0/57 %0.0
Respiratory failure,2/63 %3.17,1/57 %1.75
Abrasion,1/63 %1.59,0/57 %0.0

ABT-888 and Temozolomide for Liver Cancer(https://clinicaltrials.gov/show/NCT01205828)
 ,Temozolomide + ABT-888
 ,Temozolomide and ABT-888 temozolomide + ABT-888: Temozolomide 150 mg/m2/day PO Days 1-5 every 28 days ABT-888 40 mg BID PO Days 1-7 every 28 days Patents with stable disease or continued response to therapy will be treated and followed for a total of 6 cycles (6 months).
Total serious adverse events,6/16 %37.5
nausea vomit,3/16 %18.75
bleeding,1/16 %6.25
fatigue,1/16 %6.25
multiorgan failure,1/16 %6.25

Phase III Trial Comparing Capecitabine in Combination With Sorafenib or Placebo in the Treatment of Locally Advanced or Metastatic HER2-Negative Breast Cancer(https://clinicaltrials.gov/show/NCT01234337)
 ,Sorafenib (Nexavar BAY43-9006) + Capecitabine,Placebo + Capecitabine
 ,Sorafenib tablets were administered orally continuously at a total daily dose of 600 mg (200 mg in the morning 400 mg in the evening) in a 3-week cycle. Capecitabine was administered orally at a total daily dose of 2000 mg/m^2 (1000 mg/m^2 twice daily 12 hours apart). If tolerability criteria were met for a subject capecitabine dose was escalated to 2500 mg/m^2 total daily dose (1250 mg/m^2 twice daily) and sorafenib dose to a total daily dose of 800 mg for that subject.,Placebo tablets matching with sorafenib were administered orally continuously (1 tablet in the morning 2 tablets in the evening) in a 3-week cycle. Capecitabine was administered orally at a total daily dose of 2000 mg/m^2 (1000 mg/m^2 twice daily 12 hours apart). If tolerability criteria were met for a subject capecitabine dose was escalated to 2500 mg/m^2 total daily dose (1250 mg/m^2 twice daily) and placebo dose to a total daily dose of 4 tablets (2 tablets twice daily) for that subject.
Total serious adverse events,80/260 %30.77,71/267 %26.59
Anaemia,2/260 %0.77,2/267 %0.75
Febrile neutropenia,0/260 %0.0,1/267 %0.37
Neutropenia,2/260 %0.77,0/267 %0.0
Thrombocytopenia,0/260 %0.0,1/267 %0.37
Bundle branch block right,0/260 %0.0,1/267 %0.37
Pericardial effusion,0/260 %0.0,5/267 %1.87
Cardiopulmonary failure,0/260 %0.0,1/267 %0.37
Aplasia,0/260 %0.0,1/267 %0.37
Eye symptom,1/260 %0.38,0/267 %0.0
Abdominal discomfort,0/260 %0.0,1/267 %0.37
Abdominal pain,2/260 %0.77,1/267 %0.37
Acute abdomen,1/260 %0.38,0/267 %0.0
Ascites,1/260 %0.38,2/267 %0.75
Colitis,1/260 %0.38,2/267 %0.75
Constipation,1/260 %0.38,0/267 %0.0
Diarrhoea,3/260 %1.15,8/267 %3.0
Enteritis,0/260 %0.0,1/267 %0.37
Melaena,1/260 %0.38,0/267 %0.0
Nausea,3/260 %1.15,2/267 %0.75
Oesophageal stenosis,1/260 %0.38,0/267 %0.0
Pancreatitis,1/260 %0.38,0/267 %0.0
Swollen tongue,1/260 %0.38,0/267 %0.0
Vomiting,7/260 %2.69,1/267 %0.37
Duodenal stenosis,1/260 %0.38,0/267 %0.0
Subileus,0/260 %0.0,1/267 %0.37
Neutropenic colitis,0/260 %0.0,3/267 %1.12
Death,2/260 %0.77,1/267 %0.37
Fatigue,2/260 %0.77,2/267 %0.75
Mucosal inflammation,1/260 %0.38,0/267 %0.0
Pain,2/260 %0.77,0/267 %0.0
Pyrexia,0/260 %0.0,3/267 %1.12
General physical health deterioration,3/260 %1.15,3/267 %1.12
Gallbladder pain,1/260 %0.38,0/267 %0.0
Hepatic failure,2/260 %0.77,1/267 %0.37
Hyperbilirubinaemia,1/260 %0.38,0/267 %0.0
Jaundice cholestatic,1/260 %0.38,0/267 %0.0
Bronchitis,1/260 %0.38,0/267 %0.0
Gastroenteritis viral,1/260 %0.38,0/267 %0.0
Pneumonia,2/260 %0.77,0/267 %0.0
Sepsis,2/260 %0.77,0/267 %0.0
Urinary tract infection,2/260 %0.77,1/267 %0.37
Cytomegalovirus enterocolitis,1/260 %0.38,0/267 %0.0
Lung infection,2/260 %0.77,0/267 %0.0
Femoral neck fracture,1/260 %0.38,0/267 %0.0
Femur fracture,1/260 %0.38,1/267 %0.37
Hip fracture,0/260 %0.0,1/267 %0.37
Humerus fracture,0/260 %0.0,1/267 %0.37
Tendon rupture,0/260 %0.0,1/267 %0.37
Wrist fracture,1/260 %0.38,0/267 %0.0
Biopsy lung,1/260 %0.38,0/267 %0.0
Blood bilirubin increased,0/260 %0.0,1/267 %0.37
White blood cell count decreased,1/260 %0.38,0/267 %0.0
Dehydration,2/260 %0.77,0/267 %0.0
Hypercalcaemia,0/260 %0.0,2/267 %0.75
Hyperglycaemia,0/260 %0.0,1/267 %0.37
Hypoglycaemia,0/260 %0.0,1/267 %0.37
Hypokalaemia,1/260 %0.38,4/267 %1.5
Hyponatraemia,1/260 %0.38,0/267 %0.0
Hypophosphataemia,0/260 %0.0,1/267 %0.37
Arthralgia,3/260 %1.15,1/267 %0.37
Back pain,2/260 %0.77,0/267 %0.0
Bone pain,0/260 %0.0,1/267 %0.37
Musculoskeletal pain,0/260 %0.0,1/267 %0.37
Myopathy,1/260 %0.38,0/267 %0.0
Mobility decreased,0/260 %0.0,1/267 %0.37
Musculoskeletal chest pain,1/260 %0.38,0/267 %0.0
Breast cancer,0/260 %0.0,1/267 %0.37
Malignant pleural effusion,1/260 %0.38,0/267 %0.0
Metastases to liver,0/260 %0.0,1/267 %0.37
Metastases to spine,0/260 %0.0,1/267 %0.37
Metastases to meninges,0/260 %0.0,1/267 %0.37
Tumour associated fever,1/260 %0.38,0/267 %0.0
Breast cancer metastatic,1/260 %0.38,2/267 %0.75
Cancer pain,1/260 %0.38,0/267 %0.0
Metastases to central nervous system,1/260 %0.38,0/267 %0.0
Disturbance in attention,1/260 %0.38,0/267 %0.0
Dizziness,0/260 %0.0,1/267 %0.37
Epilepsy,1/260 %0.38,0/267 %0.0
Facial paralysis,0/260 %0.0,1/267 %0.37
Headache,2/260 %0.77,1/267 %0.37
Hepatic encephalopathy,1/260 %0.38,1/267 %0.37
Lethargy,0/260 %0.0,1/267 %0.37
Neuralgia,1/260 %0.38,0/267 %0.0
Presyncope,1/260 %0.38,0/267 %0.0
Sciatica,1/260 %0.38,0/267 %0.0
Spinal cord compression,0/260 %0.0,1/267 %0.37
Brain oedema,0/260 %0.0,1/267 %0.37
Central nervous system mass,0/260 %0.0,1/267 %0.37
Cytotoxic oedema,1/260 %0.38,0/267 %0.0
Confusional state,1/260 %0.38,0/267 %0.0
Hydronephrosis,1/260 %0.38,1/267 %0.37
Renal colic,1/260 %0.38,0/267 %0.0
Acute kidney injury,1/260 %0.38,0/267 %0.0
Menorrhagia,1/260 %0.38,0/267 %0.0
Asphyxia,1/260 %0.38,0/267 %0.0
Bronchospasm,1/260 %0.38,0/267 %0.0
Dyspnoea,8/260 %3.08,3/267 %1.12
Haemoptysis,0/260 %0.0,1/267 %0.37
Pleural effusion,6/260 %2.31,11/267 %4.12
Pneumonitis,1/260 %0.38,0/267 %0.0
Pneumothorax,1/260 %0.38,3/267 %1.12
Pulmonary embolism,3/260 %1.15,4/267 %1.5
Pulmonary microemboli,1/260 %0.38,0/267 %0.0
Respiratory failure,3/260 %1.15,0/267 %0.0
Tracheal obstruction extrinsic,1/260 %0.38,0/267 %0.0
Erythema multiforme,1/260 %0.38,0/267 %0.0
Palmar-plantar erythrodysaesthesia syndrome,0/260 %0.0,1/267 %0.37
Rash,1/260 %0.38,0/267 %0.0
Cholecystectomy,0/260 %0.0,1/267 %0.37
Hysterectomy,1/260 %0.38,0/267 %0.0
Pleurodesis,2/260 %0.77,0/267 %0.0
Central venous catheterisation,1/260 %0.38,0/267 %0.0
Hepatectomy,1/260 %0.38,0/267 %0.0
Axillary lymphadenectomy,1/260 %0.38,0/267 %0.0
Cancer surgery,0/260 %0.0,1/267 %0.37
Lymphoedema,1/260 %0.38,0/267 %0.0
Superior vena cava syndrome,1/260 %0.38,0/267 %0.0
Deep vein thrombosis,1/260 %0.38,3/267 %1.12
Peripheral artery occlusion,1/260 %0.38,0/267 %0.0
Venous thrombosis limb,0/260 %0.0,1/267 %0.37

Study of Mapatumumab in Combination With Sorafenib in Subjects With Advanced Hepatocellular Carcinoma(https://clinicaltrials.gov/show/NCT01258608)
 ,Sorafenib+Placebo,Sorafenib+Mapatumumab 30 mg/kg
 ,Participants received sorafenib 400 milligrams (mg) orally twice daily continuously in each 21-day cycle. Placebo was administered via the intravenous route on Day 1 of each 21-day cycle. The treatments were administered until radiologic disease progression or unacceptable toxicity.,Participants received sorafenib 400 mg orally twice daily continuously in each 21-day cycle. Mapatumumab 30 milligrams per kilogram (mg/kg) was administered via the intravenous route on Day 1 of each 21-day cycle. The treatments were administered until radiologic disease progression or unacceptable toxicity.
Total all-cause mortality,40/51 %78.43,39/50 %78.0
Total serious adverse events,27/51 %52.94,21/50 %42.0
Disseminated intravascular coagulation,0/51 %0.0,1/50 %2.0
Acute myocardial infarction,0/51 %0.0,2/50 %4.0
Cardio-respiratory arrest,0/51 %0.0,1/50 %2.0
Myocardial ischaemia,0/51 %0.0,1/50 %2.0
Atrial fibrillation,1/51 %1.96,0/50 %0.0
Atrial flutter,1/51 %1.96,0/50 %0.0
Atrioventricular block,1/51 %1.96,0/50 %0.0
Oesophageal varices haemorrhage,0/51 %0.0,3/50 %6.0
Gastric haemorrhage,2/51 %3.92,1/50 %2.0
Upper gastrointestinal haemorrhage,2/51 %3.92,1/50 %2.0
Food poisoning,0/51 %0.0,1/50 %2.0
Ascites,1/51 %1.96,0/50 %0.0
Gastric ulcer,1/51 %1.96,0/50 %0.0
Gastric ulcer haemorrhage,1/51 %1.96,0/50 %0.0
General physical health deterioration,2/51 %3.92,1/50 %2.0
Disease progression,1/51 %1.96,0/50 %0.0
Fatigue,1/51 %1.96,0/50 %0.0
Hepatic failure,0/51 %0.0,3/50 %6.0
Hyperbilirubinaemia,1/51 %1.96,0/50 %0.0
Appendicitis,0/51 %0.0,1/50 %2.0
Gangrene,0/51 %0.0,1/50 %2.0
Oesophageal candidiasis,0/51 %0.0,1/50 %2.0
Device related infection,1/51 %1.96,0/50 %0.0
Craniocerebral injury,1/51 %1.96,1/50 %2.0
Road traffic accident,0/51 %0.0,1/50 %2.0
Gamma-glutamyltransferase increased,3/51 %5.88,0/50 %0.0
Blood bilirubin increased,1/51 %1.96,2/50 %4.0
Alanine aminotransferase increased,0/51 %0.0,1/50 %2.0
Lipase increased,1/51 %1.96,0/50 %0.0
Hyperkalaemia,1/51 %1.96,2/50 %4.0
Dehydration,0/51 %0.0,1/50 %2.0
Malnutrition,0/51 %0.0,1/50 %2.0
Cachexia,1/51 %1.96,0/50 %0.0
Hyponatraemia,1/51 %1.96,0/50 %0.0
Arthritis,1/51 %1.96,0/50 %0.0
Hepatocellular carcinoma,9/51 %17.65,4/50 %8.0
Hepatic cancer metastatic,1/51 %1.96,0/50 %0.0
Hepatic encephalopathy,0/51 %0.0,1/50 %2.0
Haemorrhagic stroke,1/51 %1.96,0/50 %0.0
Renal failure,0/51 %0.0,1/50 %2.0
Pulmonary embolism,2/51 %3.92,0/50 %0.0
Bronchitis chronic,0/51 %0.0,1/50 %2.0
Skin ulcer,1/51 %1.96,0/50 %0.0

Sorafenib and TRC105 in Hepatocellular Cancer(https://clinicaltrials.gov/show/NCT01306058)
 ,Sorafenib & TRC105 in Hepatocellular CA
 ,CA (cancer); 15 mg/kg TRC105 intravenous (IV) every 2 weeks and 400 mg sorafenib by mouth (PO) twice per day TRC 105: 15 mg/kg IV every 2 weeks Sorafenib: 400 mg twice a day (bid) continuously in a 28 days cycle
Total all-cause mortality,16/27 %59.26
Total serious adverse events,11/27 %40.74
Left ventricular systolic dysfunction,1/27 %3.7
Myocardial infarction,1/27 %3.7
Diarrhea,1/27 %3.7
Gastrointestinal pain,1/27 %3.7
Mucositis oral,1/27 %3.7
Pancreatitis,1/27 %3.7
Fever,1/27 %3.7
Infusion related reaction,1/27 %3.7
Hepatic failure,1/27 %3.7
Lung infection,1/27 %3.7
Sepsis,1/27 %3.7
Aspartate aminotransferase increased,1/27 %3.7
Blood bilirubin increased,1/27 %3.7
Lipase increased,1/27 %3.7
Serum amylase increased,1/27 %3.7
Intracranial hemorrhage,1/27 %3.7
Stroke,1/27 %3.7
Epistaxis,1/27 %3.7
Rash maculo-papular,2/27 %7.41
Flushing,1/27 %3.7
Hypotension,1/27 %3.7

A Phase II Trial of OSI-906 and Sorafenib in Advanced Hepatocellular Cancer(https://clinicaltrials.gov/show/NCT01334710)
 ,Sorafenib and OSI-906
 ,This is a single arm phase II trial designed to evaluate the effect of adding OSI-906 to sorafenib in patients with hepatocellular cancer. The study is designed to evaluate the safety of the regimen in the first six patients. Sorafenib and OSI-906 : Sorafenib - 400 mg twice daily OSI-906 - 150 mg twice daily
Total serious adverse events,0/3 %0.0

Bortezomib and Sorafenib Tosylate in Treating Patients With Newly Diagnosed Acute Myeloid Leukemia(https://clinicaltrials.gov/show/NCT01371981)
 ,Arm A,Arm B,Arm C (Cohort 1),Arm C (Cohort 2),Arm C (Cohort 3),Arm D
 ,INDUCTION (IND) 1Pts receive intrathecal (IT) cytarabine on day 1 and ADE with IV cytarabine over 1-30 minutes on days 1-10; daunorubicin hydrochloride IV over 1-15 minutes days1 3 5; etoposide IV 1-2 hours days1-5. IND IILow risk (LR) pts receive cytarabine IT and ADE chemotherapy as in INDI. High risk (HR) cytarabine IT day 1 MA chemo comprising high-dose cytarabine IV over 1-3 hours days1-4 mitoxantrone IV over 15-30 minutes days 3-6. INTENSIFICATION (INT) I: cytarabine IT day 1 AE chemo with high-dose cytarabine IV over 1-3 hours etoposide IV over 1-2 hours days 1-5. INT II: LR-cytarabine IT day 1; Induction II MA chemo. HR and no SCT donor - high-dose cytarabine IV over 3 hours days1 2 8 9; asparaginase intramuscularly (IM) days29. SCT: : pts receive fludarabine phosphate IV over 30 minutes once daily days -5 to -2 busulfan IV over 2 hours 4 times daily days -5 to -2. Allogeneic SCT within 36 to 48 hours after last busulfan dose. Pts receive GVHD prophylaxis.,IND I: Pts receive cytarabine IT and ADE chemotherapy as in Induction I Arm A. Patients also receive bortezomib IV over 3-5 seconds on days 1 4 8. IND II: LR pts receive cytarabine IT ADE chemotherapy bortezomib as in IND I. HR pts receive cytarabine IT MA as in IND II Arm A (HR patients) and bortezomib IV on days 1 4 8. INT I: Pts receive cytarabine IT and AE in Arm A Intensification II and bortezomib IV on days 1 4 8. INT II: LR pts receive cytarabine IT on day 1 MA as in Arm A IND II (HR patients) and bortezomib IV on days 1 4 8. HR pts with no donor for SCT receive high-dose cytarabine IV over 3 hours on days 1 2 8 9 and asparaginase intramuscularly (IM) on days 2 and 9. SCT - Pts receive fludarabine phosphate IV over 30 minutes once daily on days -5 to -2 and busulfan IV over 2 hours 4 times daily on days -5 to -2.Pts undergo allogeneic SCT within 36 to 48 hours after the last dose of busulfan. Pts receive GVHD prophylaxis.,IND II: Pts receive cytarabine IT on day 1 cytarabine IV over 1-30 minutes on days 1-8 daunorubicin hydrochloride IV over 1-15 minutes on days 1 3 and 5 etoposide IV over 1-2 hours on days 1-5 sorafenib tosylate PO on days 9-36. INT I: Pts receive cytarabine IT and AE chemotherapy in Arm A Intensification II and sorafenib tosylate PO on daily on days 6-28. INT II: Pts receive cytarabine IT on day 1 MA chemotherapy as in Arm A Induction II (HR patients) sorafenib tosylate PO on days 7-34. SCT (HR patients with matched family [MFD] or unrelated donor): Pts receive fludarabine phosphate IV over 30 minutes once daily on days -5 to -2 busulfan IV over 2 hours 4 times daily on days -5 to -2. Patients undergo allogeneic SCT within 36 to 48 hours after the last dose of busulfan. Pts receive GVHD prophylaxis. MAINTENANCE: Pts receive sorafenib tosylate PO starting day 40-100 after INT II or SCT for one year.,IND I: Pts receive cytarabine IT & ADE as in Arm A IND I & sorafenib tosylate PO at the time of known HR FLT3/ITD+ (including IND I & concurrently with chemo). IND II: Pts receive cytarabine IT day (d) 1 cytarabine IV over 1-30 minutes on d 1-8 daunorubicin hydrochloride IV over 1-15 minutes days 1 3 5 etoposide IV over 1-2 hours d 1-5 sorafenib tosylate PO d 9-36. INTE I: Pts receive cytarabine IT and AE in Arm A INT II and sorafenib tosylate PO on daily d 6-28. INT II: Pts receive cytarabine IT on d 1 MA as in Arm A IND II (HR pts) sorafenib tosylate PO d 7-34. SCT (HR patients with matched family [MFD] or unrelated donor): Pts receive fludarabine phosphate IV over 30 minutes once daily on d -5 to -2 busulfan IV over 2 hours 4 times daily d -5 to -2. Pts undergo allogeneic SCT within 36-48 hours after last busulfan dose. Pts receive GVHD prophylaxis. MAINTENANCE: Pts receive sorafenib tosylate PO starting d 40-100 after INT II or SCT for 1 year.,IND I: Pts receive cytarabine IT & ADE as in Arm A IND I & sorafenib tosylate PO days 11-28. IND II: Pts receive cytarabine IT day 1 cytarabine IV over 1-30 minutes on days 1-8 daunorubicin hydrochloride IV over 1-15 minutes days 1 3 5 etoposide IV over 1-2 hours days 1-5 sorafenib tosylate PO days 9-36. INT I: Pts receive cytarabine IT & AE cin Arm A INT II & sorafenib tosylate PO daily days 6-28. INT II: Pts receive cytarabine IT day 1 MA as in Arm A IND II (HR patients) & sorafenib tosylate PO days 7-34. SCT (HR patients with matched family [MFD] or unrelated donor): Pts receive fludarabine phosphate IV over 30 minutes once daily on days -5 to -2 and busulfan IV over 2 hours 4 times daily days -5 to -2. Pts undergo allogeneic SCT within 36 to 48 hours after last busulfan dose. Pts receive GVHD prophylaxis. MAINTENANCE: Pts receive sorafenib tosylate PO starting day 40-100 after INT II or SCT for 1 year.,INDUCTION I: Patients with unknown FLT3/ITD status prior to study enrollment receive cytarabine IT and ADE chemotherapy as in Arm A Induction I. If patients are determined to be HR FLT3/ITD+ no later than the end of Induction I they will be eligible to participate in Arm C.
Total all-cause mortality,198/559 %35.42,189/575 %32.87,7/12 %58.33,11/33 %33.33,16/47 %34.04,2/376 %0.53
Total serious adverse events,82/559 %14.67,305/575 %53.04,6/12 %50.0,16/33 %48.48,30/47 %63.83,2/376 %0.53
Anemia,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Blood and lymphatic system disorders - Other specify,1/559 %0.18,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
