
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
ILEUS,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
NAUSEA,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
RETROPERITONEAL HAEMORRHAGE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
UPPER GASTROINTESTINAL HAEMORRHAGE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
VOMITING,0/34 %0.0,0/33 %0.0,0/34 %0.0,2/115 %1.74
ASTHENIA,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
CHEST PAIN,0/34 %0.0,0/33 %0.0,1/34 %2.94,4/115 %3.48
CONDITION AGGRAVATED,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
DEVICE DISLOCATION,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
DRUG WITHDRAWAL SYNDROME,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
FATIGUE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
GENERAL PHYSICAL HEALTH DETERIORATION,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
HYPERTHERMIA,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
INFLUENZA LIKE ILLNESS,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
MALAISE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
MUCOSAL INFLAMMATION,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
MULTI-ORGAN FAILURE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
OEDEMA PERIPHERAL,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
PAIN,0/34 %0.0,1/33 %3.03,0/34 %0.0,11/115 %9.57
PERFORMANCE STATUS DECREASED,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
PYREXIA,1/34 %2.94,1/33 %3.03,0/34 %0.0,7/115 %6.09
HEPATIC HAEMORRHAGE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
JAUNDICE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
APPENDICITIS,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
BRONCHOPNEUMONIA,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
CENTRAL NERVOUS SYSTEM INFECTION,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
GASTROENTERITIS,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
GASTROENTERITIS VIRAL,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
HERPES ZOSTER,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
INFECTION,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
OTITIS MEDIA,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
PNEUMONIA,1/34 %2.94,0/33 %0.0,0/34 %0.0,2/115 %1.74
PNEUMONIA VIRAL,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
POST PROCEDURAL INFECTION,0/34 %0.0,1/33 %3.03,0/34 %0.0,0/115 %0.0
POSTOPERATIVE WOUND INFECTION,0/34 %0.0,1/33 %3.03,0/34 %0.0,0/115 %0.0
SEPSIS,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
URINARY TRACT INFECTION,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
BRAIN HERNIATION,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
HUMERUS FRACTURE,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
POSTOPERATIVE RESPIRATORY DISTRESS,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
PROCEDURAL HYPOTENSION,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
RIB FRACTURE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
TOXICITY TO VARIOUS AGENTS,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
WOUND NECROSIS,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
BIOPSY BONE ABNORMAL,0/34 %0.0,1/33 %3.03,0/34 %0.0,0/115 %0.0
BLOOD POTASSIUM DECREASED,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
DECREASED APPETITE,0/34 %0.0,1/33 %3.03,0/34 %0.0,2/115 %1.74
HYPERGLYCAEMIA,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
ARTHRALGIA,0/34 %0.0,0/33 %0.0,0/34 %0.0,2/115 %1.74
BACK PAIN,0/34 %0.0,0/33 %0.0,0/34 %0.0,3/115 %2.61
BURSITIS,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
FLANK PAIN,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
HYPERCREATINAEMIA,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
MUSCULOSKELETAL PAIN,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
CANCER PAIN,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
MALIGNANT PLEURAL EFFUSION,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
METASTASES TO LUNG,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
OSTEOSARCOMA RECURRENT,0/34 %0.0,1/33 %3.03,0/34 %0.0,0/115 %0.0
TUMOUR PAIN,0/34 %0.0,0/33 %0.0,0/34 %0.0,3/115 %2.61
ALTERED STATE OF CONSCIOUSNESS,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
COMA,0/34 %0.0,0/33 %0.0,1/34 %2.94,1/115 %0.87
CONVULSION,1/34 %2.94,0/33 %0.0,0/34 %0.0,1/115 %0.87
ENCEPHALOPATHY,0/34 %0.0,0/33 %0.0,0/34 %0.0,2/115 %1.74
HEADACHE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
HEPATIC ENCEPHALOPATHY,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
MENINGEAL DISORDER,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
MYOCLONUS,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
NERVE COMPRESSION,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
PERIPHERAL SENSORY NEUROPATHY,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
SPINAL CORD COMPRESSION,0/34 %0.0,0/33 %0.0,0/34 %0.0,2/115 %1.74
SYNCOPE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
TOXIC ENCEPHALOPATHY,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
AGITATION,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
ANXIETY,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
CONFUSIONAL STATE,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
INSOMNIA,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
MENTAL STATUS CHANGES,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
NEPHROLITHIASIS,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
ACUTE RESPIRATORY DISTRESS SYNDROME,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
ACUTE RESPIRATORY FAILURE,0/34 %0.0,0/33 %0.0,0/34 %0.0,2/115 %1.74
BRONCHIAL DISORDER,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
DYSPNOEA,0/34 %0.0,0/33 %0.0,2/34 %5.88,3/115 %2.61
DYSPNOEA AT REST,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
DYSPNOEA EXERTIONAL,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
EPISTAXIS,0/34 %0.0,0/33 %0.0,0/34 %0.0,2/115 %1.74
HAEMOTHORAX,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
HYPOXIA,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
PLEURAL EFFUSION,1/34 %2.94,0/33 %0.0,1/34 %2.94,0/115 %0.0
PNEUMOTHORAX,4/34 %11.76,1/33 %3.03,0/34 %0.0,1/115 %0.87
PULMONARY EMBOLISM,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
PULMONARY TOXICITY,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
RESPIRATORY DISTRESS,0/34 %0.0,0/33 %0.0,0/34 %0.0,6/115 %5.22
RESPIRATORY FAILURE,3/34 %8.82,1/33 %3.03,0/34 %0.0,5/115 %4.35
PETECHIAE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
LEG AMPUTATION,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
MEDICAL DEVICE REMOVAL,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
THORACOTOMY,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
WOUND TREATMENT,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
HAEMORRHAGE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
HYPOTENSION,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0
SHOCK HAEMORRHAGIC,1/34 %2.94,0/33 %0.0,0/34 %0.0,0/115 %0.0

Two Regimens of Combination Chemotherapy in Treating Younger Patients With Newly Diagnosed Localized Ewing Sarcoma Family of Tumors(https://clinicaltrials.gov/show/NCT00618813)
 ,Treatment (Combination Chemotherapy)
 ,See Detailed Description  radiation therapy: Undergo radiation therapy  therapeutic conventional surgery: Undergo surgery  etoposide: Given IV  ifosfamide: Given IV  doxorubicin hydrochloride: Given IV  cyclophosphamide: Given IV  vincristine sulfate: Given IV  topotecan hydrochloride: Given IV  filgrastim: Given SC
Total serious adverse events,2/35 %5.71
Anemia,1/35 %2.86
Upper gastrointestinal hemorrhage,1/35 %2.86
Platelet count decreased,1/35 %2.86
Apnea,1/35 %2.86

Therapy for Locally Advanced Breast Cancer Using Doxil  Paclitaxel  and Cyclophosphamide With Avastin(https://clinicaltrials.gov/show/NCT00635050)
 ,Doxil Paclitaxel Cyclophosphamide + Avastin
 ,Two staged phase II single arm trial to evaluate the pathologic complete response rate to sequential dose dense chemotherapy using Doxil paclitaxel and cyclophosphamide with concurrent Avastin in patients with advanced invasive breast cancer.  Doxil Paclitaxel Cyclophosphamide Avastin: Regimen A: Sequential Doxil 25 mg/m2 every 2 weeks for 3 doses will be followed by paclitaxel 175 mg/m2 i.v. every 2 weeks for 3 doses then by cyclophosphamide 600 mg/M 2 i.v. every 2 weeks for 3 doses. Avastin 10 mg/kg i.v. every 2 weeks will be given concurrently with all 3 agents. Patients who experience <pCR to primary chemotherapy will receive an additional year of Avastin at the same dose equivalent beginning 6-8 weeks after definitive operation.  Regimen B: Sequential Doxil 30 mg/m2 every 2 weeks for 3 doses will be followed by paclitaxel 175 mg/m2 i.v. every 2 weeks for 3 doses then by cyclophosphamide 600 mg/m 2 i.v. every 2 weeks for 3 doses. Avastin 10 mg/kg i.v. every 2 week
Total serious adverse events,1/32 %3.12
hospitalization,1/32 %3.12

Ph II Atrasentan + DOXIL in Recurrent Ovarian/Fallopian/Peritoneal Serous Papillary Adenocarcinoma(https://clinicaltrials.gov/show/NCT00653328)
 ,Altrasentan + Doxil
 ,Atrasentan 10 mg orally everyday continuously beginning on Day 1. Doxil. 50 mg/m2 intravenously every 28 days
Total serious adverse events,5/15 %33.33
Pericardial effusion,1/15 %6.67
Nausea,2/15 %13.33
Vomiting,2/15 %13.33
abdominal cramping,1/15 %6.67
Fatigue,3/15 %20.0
Death,1/15 %6.67
edema,1/15 %6.67
fever,2/15 %13.33
fatigue,2/15 %13.33
hemoglobin,2/15 %13.33
Dehydration,1/15 %6.67
Hypoalbuminemia,1/15 %6.67
Hyponatremia,1/15 %6.67
urinary frequency,1/15 %6.67
pelvic pain,1/15 %6.67
Dyspnea,2/15 %13.33
Hypoxia,1/15 %6.67
Pleural effusion,2/15 %13.33
Thromboembolism,1/15 %6.67
hot flashes,1/15 %6.67

Exploratory Study of Sunitinib Malate as a Component of Neoadjuvant Therapy for Breast Cancer(https://clinicaltrials.gov/show/NCT00656669)
 ,Single Agent Sunitinib,Paclitaxel/Sunitinib,AC Dosing
 ,Single-agent sunitinib for 2 weeks for the purpose of biomarker and IFP evaluation.,4 cycles (16 weeks) of neoadjuvant treatment with the combination of sunitinib and paclitaxel.,4 cycles (8 weeks) of neoadjuvant treatment with AC.
Total serious adverse events,0/23 %0.0,2/23 %8.7,2/16 %12.5
LEFT VENTRICULAR SYSTOLIC DYSFUNCTION,0/23 %0.0,1/23 %4.35,0/16 %0.0
NAUSEA,0/23 %0.0,1/23 %4.35,0/16 %0.0
VOMITING,0/23 %0.0,1/23 %4.35,0/16 %0.0
BILIRUBIN (HYPERBILIRUBINEMIA),0/23 %0.0,1/23 %4.35,0/16 %0.0
INFECTION (DOCUMENTED CLINICALLY OR MICROBIOLOGICALLY) WITH GRADE 3 OR 4 NEUTROPHILS (ANC <1.0 X 10E,0/23 %0.0,1/23 %4.35,0/16 %0.0
NEUTROPHILS/GRANULOCYTES (ANC/AGC),0/23 %0.0,0/23 %0.0,1/16 %6.25
FEBRILE NEUTROPENIA (FEVER OF UNKNOWN ORIGIN WITHOUT CLINICALLY OR MICROBIOLOGICALLY DOCUMENTED INFE,0/23 %0.0,0/23 %0.0,2/16 %12.5

Biomarkers in Women Receiving Chemotherapy and Celecoxib for Stage II or Stage III Breast Cancer That Can Be Removed by Surgery(https://clinicaltrials.gov/show/NCT00665457)
 ,Celecoxib
 ,•Neoadjuvant chemotherapy: Patients receive docetaxel IV over 1 hour on days 1 8 and 15 oral capecitabine twice daily on days 1-14 and oral celecoxib twice daily on days 1-21. Courses repeat every 3 weeks for 4 courses in the absence of disease progression or unacceptable toxicity.  Patients then receive doxorubicin hydrochloride IV and cyclophosphamide IV once daily on day 1 oral celecoxib twice daily on days 1-14 and filgrastim subcutaneously once daily on days 3-10. Courses repeat every 2 weeks for 4 courses in the absence of disease progression or unacceptable toxicity. Celecoxib is stopped one week prior to surgery.  •Surgery: standard of care
Total serious adverse events,1/3 %33.33
Neutropenic Fever,1/3 %33.33

Combination Chemotherapy and Bevacizumab in Treating Women With HER2/Neu-Negative Stage II or Stage III Breast Cancer(https://clinicaltrials.gov/show/NCT00679029)
 ,Arm I
 ,AC = Doxorubicin 60 mg /M2 followed by cyclophosphamide 600 mg/M2 will be given every 2 weeks for cycles 1-4.  TG = Paclitaxel 175 mg/M2 followed by gemcitabine 1500 mg/M2 will be given every 2 weeks for cycles 5-8.  Beginning cycle 5 B1= Avastin 10 mg/kg will be given as a single IV dose following each TG treatment every 2 weeks for cycles 5-7.  N=Growth factor pegfilgastrim 6 mg will be administered subcutaneously on day 1 after AC and TG treatment every 2 weeks for 8 cycles.
Total all-cause mortality,1/15 %6.67
Total serious adverse events,4/15 %26.67
Febrile Neutropenia,1/15 %6.67
Anemia,1/15 %6.67
colonic perforation,1/15 %6.67
Other enteritis,1/15 %6.67
Other Weakness,1/15 %6.67
Lung Infection,1/15 %6.67
Platelet count decrease,1/15 %6.67
White blood cell decreased,1/15 %6.67
Neutrophil count decreased,1/15 %6.67
Other cellulitis,1/15 %6.67
dyspnea,1/15 %6.67
Other alveolar hemorrhage,1/15 %6.67

Phase 2 Study of VELCADE (Bortezomib) in Patients With Relapsed Follicular Lymphoma(https://clinicaltrials.gov/show/NCT00715208)
 ,VELCADE R-CAP,VELCADE R-CP
 ,VELCADE rituximab cyclophosphamide prednisone and Doxorubicin,VELCADE rituximab cyclophosphamide and prednisone
Total serious adverse events,2/7 %28.57,12/48 %25.0
Febrile neutropenia,1/7 %14.29,1/48 %2.08
Neutropenia,0/7 %0.0,1/48 %2.08
Lymphadenopathy,0/7 %0.0,2/48 %4.17
Leukopenia NOS,1/7 %14.29,0/48 %0.0
Cardiac failure congestive,0/7 %0.0,1/48 %2.08
Myocardial infarction,0/7 %0.0,1/48 %2.08
Atrial fibrillation,0/7 %0.0,1/48 %2.08
Vision blurred,0/7 %0.0,1/48 %2.08
Ascites,0/7 %0.0,1/48 %2.08
Abdominal pain NOS,0/7 %0.0,1/48 %2.08
Pyrexia,1/7 %14.29,3/48 %6.25
Fatigue,0/7 %0.0,1/48 %2.08
Weakness,0/7 %0.0,1/48 %2.08
Bronchitis NOS,0/7 %0.0,1/48 %2.08
Bronchitis acute NOS,0/7 %0.0,1/48 %2.08
Pneumonia NOS,0/7 %0.0,1/48 %2.08
Bacteraemia,0/7 %0.0,1/48 %2.08
Neutropenic sepsis,1/7 %14.29,0/48 %0.0
Oropharyngeal candidiasis,1/7 %14.29,0/48 %0.0
Respiratory tract infection NOS,0/7 %0.0,1/48 %2.08
Cellulitis,0/7 %0.0,1/48 %2.08
Viral infection NOS,0/7 %0.0,1/48 %2.08
Blood culture positive,0/7 %0.0,2/48 %4.17
Electrocardiogram T wave abnormal,0/7 %0.0,1/48 %2.08
Back pain,0/7 %0.0,1/48 %2.08
Pain in limb,0/7 %0.0,1/48 %2.08
Syncope,0/7 %0.0,1/48 %2.08
Headache NOS,0/7 %0.0,1/48 %2.08
Dyspnoea NOS,0/7 %0.0,1/48 %2.08
Chronic obstructive airways disease exacerbated,0/7 %0.0,1/48 %2.08
Lung infiltration NOS,0/7 %0.0,1/48 %2.08
Pleural effusion,0/7 %0.0,1/48 %2.08
Respiratory failure (excl neonatal),0/7 %0.0,1/48 %2.08
Hypertension aggravated,0/7 %0.0,1/48 %2.08

A Study of Rituximab Alternative Dosing Rate in Patients With Previously Untreated Diffuse Large B-cell or Follicular Non-Hodgkin's Lymphoma (RATE)(https://clinicaltrials.gov/show/NCT00719472)
 ,Rituximab 375 mg/m^2
 ,Patients received 6 or 8 21-day cycles of CHOP (cyclophosphamide hydroxydaunorubicin [doxorubicin] Oncovin [vincristine] prednisone) or CVP (cyclophosphamide vincristine prednisone) in combination with rituximab 375 mg/m^2 administered by intravenous (IV) infusion on Day 1 of each cycle.
Total serious adverse events,107/425 %25.18
Febrile neutropenia,33/425 %7.76
Neutropenia,10/425 %2.35
Pancytopenia,7/425 %1.65
Anaemia,5/425 %1.18
Leukopenia,1/425 %0.24
Thrombocytopenia,1/425 %0.24
Cardiac arrest,2/425 %0.47
Ventricular tachycardia,2/425 %0.47
Cardiac failure congestive,3/425 %0.71
Atrial fibrillation,3/425 %0.71
Cardiomyopathy,1/425 %0.24
Acute myocardial infarction,1/425 %0.24
Abdominal pain,6/425 %1.41
Nausea,3/425 %0.71
Vomiting,3/425 %0.71
Constipation,3/425 %0.71
Small intestinal obstruction,2/425 %0.47
Pancreatitis,1/425 %0.24
Colitis,1/425 %0.24
Diarrhoea,1/425 %0.24
Faecaloma,1/425 %0.24
Gastric perforation,1/425 %0.24
Gastritis,1/425 %0.24
Intestinal mass,1/425 %0.24
Dysphagia,1/425 %0.24
Haemorrhoids,1/425 %0.24
Small intestinal perforation,1/425 %0.24
Colonic obstruction,1/425 %0.24
Megacolon,1/425 %0.24
Gastrointestinal haemorrhage,1/425 %0.24
Stomatitis,1/425 %0.24
Pyrexia,3/425 %0.71
Chest pain,3/425 %0.71
Asthenia,2/425 %0.47
Hepatic failure,2/425 %0.47
Ischaemic hepatitis,1/425 %0.24
Pneumonia,7/425 %1.65
Bronchitis,1/425 %0.24
Lung infection,1/425 %0.24
Sepsis,5/425 %1.18
Device related sepsis,1/425 %0.24
Fungal sepsis,1/425 %0.24
Neutropenic sepsis,1/425 %0.24
Septic shock,1/425 %0.24
Staphylococcal infection,2/425 %0.47
Staphylococcal sepsis,1/425 %0.24
Pseudomonal sepsis,2/425 %0.47
Gastroenteritis,1/425 %0.24
Cellulitis,1/425 %0.24
Mastitis,1/425 %0.24
Meningitis aseptic,1/425 %0.24
Hepatitis B,1/425 %0.24
Herpes zoster,1/425 %0.24
Streptococcal bacteraemia,1/425 %0.24
Urinary tract infection,1/425 %0.24
Fall,1/425 %0.24
Wound dehiscence,1/425 %0.24
Accidental overdose,1/425 %0.24
Dehydration,12/425 %2.82
Failure to thrive,1/425 %0.24
Malnutrition,1/425 %0.24
Decreased appetite,1/425 %0.24
Hypercalcaemia,1/425 %0.24
Hypoglycaemia,1/425 %0.24
Hypokalaemia,1/425 %0.24
Muscular weakness,1/425 %0.24
Musculoskeletal pain,1/425 %0.24
Breast cancer,1/425 %0.24
Lymphoma,1/425 %0.24
Cerebrovascular accident,2/425 %0.47
Cerebral ischaemia,1/425 %0.24
Convulsion,1/425 %0.24
Anxiety,1/425 %0.24
Renal failure,1/425 %0.24
Renal failure acute,1/425 %0.24
Dyspnoea,2/425 %0.47
Respiratory distress,1/425 %0.24
Acute respiratory failure,2/425 %0.47
Respiratory failure,2/425 %0.47
Pneumonia aspiration,1/425 %0.24
Pleural effusion,1/425 %0.24
Deep vein thrombosis,3/425 %0.71
Jugular vein thrombosis,1/425 %0.24
Venous thrombosis limb,1/425 %0.24
Hypotension,2/425 %0.47
Orthostatic hypotension,1/425 %0.24
Thrombosis,1/425 %0.24
Superior vena cava syndrome,1/425 %0.24

Study of the Combination of Rituximab  Cyclophosphamide  Doxorubicin  VELCADE  and Prednisone or Rituximab  Cyclophosphamide  Doxorubicin  Vincristine  and Prednisone in Patients With Newly Diagnosed Mantle Cell Lymphoma(https://clinicaltrials.gov/show/NCT00722137)
 ,R-CHOP,VcR-CAP
 ,Rituximab 375 mg/m^2 Cyclophosphamide 750 mg/m^2 Doxorubicin 50 mg/m^2 Vincristine 1.4 mg/m^2 and Prednisone 100 mg/m^2 Rituximab: Rituximab intravenous on Day 1 of a 21 day (3 week) cycle for 6 cycles. Cyclophosphamide: Cyclophosphamide intravenous on Day 1 of a 21 day (3 week) cycle for 6 cycles Doxorubicin: Intravenous on Day 1 of a 21 day (3 week) cycle for 6 cycles Prednisone: Prednisone orally on Day 1 to Day 5 of a 21 day (3 week) cycle for 6 cycles Vincristine: Vincristine intravenous on Day 1 of a 21 day (3 week) cycle for 6 cycles.,Rituximab 375 mg/m^2 Cyclophosphamide 750 mg/m^2 Doxorubicin 50 mg/m^2 VELCADE 1.3 mg/m^2 and Prednisone 100 mg/m^2 Rituximab: Rituximab intravenous on Day 1 of a 21 day (3 week) cycle for 6 cycles. Cyclophosphamide: Cyclophosphamide intravenous on Day 1 of a 21 day (3 week) cycle for 6 cycles Doxorubicin: Intravenous on Day of a 21 day (3 week) cycle for 6 cycles VELCADE: VELCADE intravenous on Days 148 and 11 of a 21 day (3 week) cycle for 6 cycles Prednisone: Prednisone orally on Day 1 to Day 5 of a 21 day (3 week) cycle for 6 cycles.
Total serious adverse events,72/242 %29.75,91/240 %37.92
Febrile neutropenia,20/242 %8.26,26/240 %10.83
Neutropenia,13/242 %5.37,12/240 %5.0
Thrombocytopenia,1/242 %0.41,8/240 %3.33
Leukopenia,3/242 %1.24,6/240 %2.5
Anaemia,5/242 %2.07,4/240 %1.67
Lymphopenia,0/242 %0.0,1/240 %0.42
Bone marrow failure,0/242 %0.0,1/240 %0.42
Left ventricular dysfunction,0/242 %0.0,3/240 %1.25
Cardiac failure,0/242 %0.0,2/240 %0.83
Atrial fibrillation,2/242 %0.83,1/240 %0.42
Cardiac failure congestive,0/242 %0.0,1/240 %0.42
Cardiogenic shock,0/242 %0.0,1/240 %0.42
Myocardial ischaemia,1/242 %0.41,1/240 %0.42
Sinus tachycardia,0/242 %0.0,1/240 %0.42
Supraventricular extrasystoles,0/242 %0.0,1/240 %0.42
Acute left ventricular failure,1/242 %0.41,0/240 %0.0
Acute myocardial infarction,1/242 %0.41,0/240 %0.0
Cardiac arrest,1/242 %0.41,0/240 %0.0
Cardiac failure acute,1/242 %0.41,0/240 %0.0
Cardio-respiratory arrest,2/242 %0.83,0/240 %0.0
Cardiomyopathy,1/242 %0.41,0/240 %0.0
Cardiopulmonary failure,1/242 %0.41,0/240 %0.0
Left ventricular failure,1/242 %0.41,0/240 %0.0
Myocardial infarction,2/242 %0.83,0/240 %0.0
Tachycardia,2/242 %0.83,0/240 %0.0
Diarrhoea,3/242 %1.24,4/240 %1.67
Vomiting,1/242 %0.41,2/240 %0.83
Abdominal adhesions,0/242 %0.0,1/240 %0.42
Colitis,1/242 %0.41,1/240 %0.42
Gastritis,0/242 %0.0,1/240 %0.42
Gastrointestinal haemorrhage,0/242 %0.0,1/240 %0.42
Ileus paralytic,0/242 %0.0,1/240 %0.42
Melaena,1/242 %0.41,1/240 %0.42
Mouth ulceration,0/242 %0.0,1/240 %0.42
Oesophagitis,0/242 %0.0,1/240 %0.42
Stomatitis,2/242 %0.83,1/240 %0.42
Anal fissure,1/242 %0.41,0/240 %0.0
Constipation,1/242 %0.41,0/240 %0.0
Haematemesis,1/242 %0.41,0/240 %0.0
Pancreatitis,1/242 %0.41,0/240 %0.0
Periproctitis,1/242 %0.41,0/240 %0.0
Small intestinal obstruction,1/242 %0.41,0/240 %0.0
Pyrexia,4/242 %1.65,10/240 %4.17
Acute phase reaction,0/242 %0.0,1/240 %0.42
Asthenia,0/242 %0.0,1/240 %0.42
Chills,1/242 %0.41,1/240 %0.42
Death,0/242 %0.0,1/240 %0.42
Cardiac death,1/242 %0.41,0/240 %0.0
Chest pain,1/242 %0.41,0/240 %0.0
Fatigue,3/242 %1.24,0/240 %0.0
Oedema peripheral,1/242 %0.41,0/240 %0.0
Hepatic failure,0/242 %0.0,1/240 %0.42
Bile duct stone,1/242 %0.41,0/240 %0.0
Hepatic function abnormal,1/242 %0.41,0/240 %0.0
Pneumonia,7/242 %2.89,19/240 %7.92
